miRBase cluster	Algorithm cluster
mir-3338	mir-3338
mir-2797	mir-2797_1
mir-703	mir-703
mir-4529	mir-4529
mir-2032	mir-2032
mir-6128	mir-6128
MIR2907	MIR2907
MIR9672	MIR9672
mir-9230	mir-9230
MIR4208	MIR4248
mir-1990	mir-1990_1
mir-983	mir-983
mir-253	mir-253
mir-6134	mir-6134
mir-3121	mir-3121
mir-1265	mir-1265
mir-3021	mir-3021-3
mir-302_2	mir-302_2
MIR2617	MIR2617
MIR538	MIR538
mir-9828	mir-9828-3
MIR773	MIR773
MIR6161	MIR6161
mir-575	mir-575
MIR2873	MIR2873
mir-4077	mir-4077
mir-3127	mir-3127
MIR447	MIR447
MIR949	MIR949
mir-578	mir-578
mir-9428	mir-9428-3
mir-4000	mir-4000_1
mir-1236	mir-1236
MIR5062	MIR5062
mir-6095	mir-6095-3
mir-9195	mir-9195-3
MIR9677	MIR9677
mir-4509	mir-4509-3
mir-573	mir-573
MIR6224	MIR6224
mir-1178	mir-1178
mir-555	mir-555
mir-2185	mir-2185-3
mir-5911	mir-5911
mir-259	mir-259
mir-1324	mir-1324
mir-6096	mir-6096-3
mir-378_2	mir-378_2
mir-3156	mir-3156-3
MIR2863	MIR841
mir-7563	mir-7563
mir-7479	mir-7479-3
mir-943	mir-943
mir-657	mir-657
mir-645	mir-645
mir-4889	mir-4889
mir-230	mir-230
mir-2755	mir-2755
MIR8623	MIR8623
mir-7950	mir-7950
MIR6201	MIR6201
MIR8703	MIR8703
mir-rL1-14	mir-rL1-14-2
mir-1261	mir-1261
MIR5763	MIR5763
mir-1290	mir-1290
mir-4484	mir-4484
MIR5285	MIR5285
MIR4416	MIR4416
mir-643	mir-643
mir-2366	mir-2366
mir-1267	mir-1267
mir-4510	mir-4510
mir-638	mir-638
mir-1827	mir-1827
mir-623	mir-623
mir-9209	mir-9209
mir-614	mir-614
mir-786	mir-786
MIR405	MIR405
mir-1732	mir-1732-3
mir-563	mir-563
mir-2237	mir-2237
mir-237	mir-237
mir-1205	mir-1205
MIR8622	MIR8622
MIR9657	MIR9657
MIR8005	MIR8674
mir-684	mir-684
mir-8830	mir-8830-3
mir-2904	mir-2904-3
mir-661	mir-661
mir-559	mir-559
mir-621	mir-621
mir-1295	mir-1295
MIR5241	MIR5241
mir-648	mir-648
MIR9666	MIR9666
mir-639	mir-639
mir-6127	mir-6127
MIR396_2	MIR396_2
mir-1208	mir-1208
MIR9772	MIR9772
mir-572	mir-572
mir-5904	mir-5904
MIR781	MIR781
mir-4660	mir-4660
mir-2772	mir-2772
mir-3017	mir-3017
mir-7948	mir-7948
mir-2566	mir-2566
mir-789	mir-789
mir-9437	mir-9437-3
mir-3043	mir-3043-3
mir-1237	mir-1237
mir-8924	mir-8924-3
mir-610	mir-610
mir-1207	mir-1207
mir-636	mir-636
mir-3072	mir-3072
mir-2013	mir-2013_1
mir-3138	mir-3138
mir-6132	mir-6132
mir-1292	mir-1292
mir-1890	mir-1890
mir-2833	mir-2833
mir-613	mir-613
MIR8767	MIR8767
MIR6158	MIR6158
mir-8921	mir-8921-3
mir-42	mir-42
mir-6770	mir-6770-3
MIR7991	MIR7991
MIR2086	MIR2086
MIR820	MIR820
mir-1275	mir-1275
mir-2006	mir-2006
mir-3145	mir-3145
MIR3704	MIR3704
MIR6024	MIR6024
MIR5291	MIR5291
mir-356	mir-356
mir-611	mir-611
mir-2763	mir-2763
mir-2005	mir-2005
mir-1490	mir-1490
mir-883	mir-883
mir-785	mir-785
MIR6288	MIR6288
MIR8654	MIR8654
mir-92_2	mir-92b-2
mir-6129	mir-6129
MIR2119	MIR2119
MIR815	MIR815
mir-3129	mir-3129
mir-552	mir-552
MIR4368	MIR4401
mir-1246	mir-1246
MIR8723	MIR7494
MIR6440	MIR6440
mir-4796	mir-4796
mir-7911	mir-7911
mir-6130	mir-6130
mir-1253	mir-1253
MIR2615	MIR2615
MIR7717	MIR7717
MIR7996	MIR7996
MIR2679	MIR2679
MIR6476	MIR6476
mir-9261	mir-9261-3
MIR5148	MIR5148
mir-959	mir-959
mir-55	mir-55
MIR2647	MIR2647
mir-564	mir-564
mir-2229	mir-2229
mir-248	mir-248
mir-1299	mir-1299
mir-1181	mir-1181
mir-2071	mir-2071
mir-646	mir-646
mir-602	mir-602
mir-649	mir-649
mir-591	mir-591
mir-3927	mir-3927
mir-745	mir-745
mir-606	mir-606
mir-2816	mir-2816-3
mir-637	mir-637
mir-6133	mir-6133
uc_eca-mir-8969	uc_eca-mir-8969
uc_gra-MIR8769	uc_gra-MIR8769
uc_hsa-mir-3178	uc_hsa-mir-3178
uc_bfl-mir-4885	uc_bfl-mir-4885
uc_mdo-mir-7245	uc_mdo-mir-7245
uc_sbi-MIR6229	mir-2392_1
uc_prd-mir-7875	uc_prd-mir-7875
